"Broad7_geneID"	"MIPS description"	"FunCat"	"Pfam"	"SignalP"	"ID25"	"ID30"	"ID35"
"NCU04783"	"related to clathrin binding protein ENT2"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.09 transport routes"	";ENTH;DUF1777;UIM;UIM;DUF1720;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU04784"	"related to Nup98-Nup96 precursor"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.02 tRNA synthesis_11.04 RNA processing_11.04.02 tRNA processing_20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.09 transport routes_20.09.01 nuclear transport_70 SUBCELLULAR LOCALIZATION_70.10 nucleus"	";Nucleoporin2;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU04785"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";F-box;GRP;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04787"	"related to Che-1 protein"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis"	";SDA1;TRAUB;Sigma70_r1_1;"	"Non-secretory protein"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU04790"	"probable translation release factor erf3"	"12 PROTEIN SYNTHESIS_12.04 translation_12.04.03 translation termination"	";TolA;GTP_EFTU;MMR_HSR1;Dynamin_N;GTP_EFTU_D2;GTP_EFTU_D3;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04791"	"related to sorbitol utilization protein"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism"	";ADH_zinc_N;adh_short;KR;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU04794"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU04795"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04796"	"probable Acetyl-CoA acyltransferase"	"01 METABOLISM_01.06 lipid, fatty acid and isoprenoid metabolism_01.06.05 fatty acid metabolism_02 ENERGY_02.25 oxidation of fatty acids_70 SUBCELLULAR LOCALIZATION_70.19 peroxisome"	";Thiolase_N;Thiolase_C;ACP_syn_III_C;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04797"	"probable Fructose-1,6-bisphosphatase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_02 ENERGY_02.01 glycolysis and gluconeogenesis_02.01.01 glycolysis methylglyoxal bypass"	";FBPase;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04798"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Glyco_hydro_92;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU04799"	"probable PAB1 - mRNA polyadenylate-binding protein"	"16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.03 nucleic acid binding_16.03.03 RNA binding"	";RRM_1;RRM_1;Phage_T7_tail;RRM_1;RRM_1;PABP;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04801"	"conserved hypothetical protein"	"01 METABOLISM_01.20 secondary metabolism_01.20.35 metabolism of secondary products derived from L-phenylalanine and L-tyrosine"	";Chal_sti_synt_N;ketoacyl-synt;ACP_syn_III;Chal_sti_synt_C;ACP_syn_III_C;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU04802"	"related to peroxin-11"	"42 BIOGENESIS OF CELLULAR COMPONENTS_42.19 peroxisome"	";PEX11;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU04803"	"probable 2-nitropropane dioxygenase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_01.06 lipid, fatty acid and isoprenoid metabolism_20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.15 electron transport"	";IMPDH;NPD;TMP-TENI;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04804"	"questionable protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04805"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";dsrm;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04806"	"related to ribosomal protein S7"	"12 PROTEIN SYNTHESIS_12.01 ribosome biogenesis_12.01.01 ribosomal proteins"	";Ribosomal_S7;PSP;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04808"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Rubrerythrin;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04809"	"related to GIT1 - glycerophosphoinositol transporter"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.13 lipid/fatty acid transport"	";Mem_trans;Sugar_tr;MFS_1;AzlC;DUF981;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU04810"	"conserved hypothetical protein"	"16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.01 protein binding_18 REGULATION OF METABOLISM AND PROTEIN FUNCTION_18.01 regulation by_18.01.01 regulation by modification_18.02 regulation of protein activity_18.02.01 enzymatic activity regulation / enzyme regulator"	";PTPA;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"F_Evol"
"NCU04811"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04812"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Pkinase;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04813"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";AT_hook;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04815"	"related to GLO1 - glyoxalase I"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.17 metal binding_16.17.09 heavy metal binding (Cu, Fe, Zn)"	";Glyoxalase;Glyoxalase;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU04816"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04817"	"related to COX15 - cytochrome oxidase assembly factor"	"01 METABOLISM_01.20 secondary metabolism_01.20.19 metabolism of secondary products derived from glycine, L-serine and L-alanine_01.20.19.01 metabolism of porphyrins_14 PROTEIN FATE (folding, modification, destination)_14.10 assembly of protein complexes_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion_70.16.05 mitochondrial inner membrane"	";COX15-CtaA;FecCD;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04819"	"related to zinc transporter"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.01 ion transport_20.01.01.01 cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)_20.01.01.01.01 heavy metal ion transport (Cu+, Fe3+, etc.)_34 INTERACTION WITH THE ENVIRONMENT_34.01 homeostasis_34.01.01 homeostasis of cations_34.01.01.01 homeostasis of metal ions (Na, K, Ca etc.)"	";Zip;MFS_1;"	"Non-secretory protein"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU04820"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04822"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04823"	"probable alcohol dehydrogenase (NADP+)"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_02 ENERGY_02.16 fermentation_02.16.01 alcohol fermentation"	";ADH_N;2-Hacid_dh_C;ADH_zinc_N;ApbA;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04824"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Fork_head_N;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04826"	"related to myosin heavy chain"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";Osmo_CC;Pox_A_type_inc;Halo_GVPC;M;Rab5-bind;Osmo_CC;DUF465;Fez1;M;Pox_A_type_inc;Strep_SA_rep;PspA_IM30;Strep_SA_rep;ELK;Phe_tRNA-synt_N;ACCA;Myosin_tail_1;Arfaptin;DHC_N1;Pox_A_type_inc;Laminin_I;SART-1;Osmo_CC;Filament;DUF1409;Pox_A_type_inc;Strep_SA_rep;TBPIP;ATG16;M;ELK;M;HSBP1;CSE2;Pox_A_type_inc;ELK;Strep_SA_rep;M;M;Strep_SA_rep;M;Apolipoprotein;TPR_MLP1_2;BRE1;DUF827;ELK;M;CBF_beta;Pox_A_type_inc;ELK;M;Prefoldin_2;Pox_A_type_inc;OmpH;M;DUF1409;Strep_SA_rep;M;Strep_SA_rep;DUF1542;M;Strep_SA_rep;M;M;ELK;Strep_SA_rep;M;ELK;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04827"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";TolA;Zn_clus;Fungal_trans;"	"Non-secretory protein"	"F_Evol"	"N_Evol"	"N_Evol"
"NCU04830"	"related to transcription activator CUP2"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control_16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.03 nucleic acid binding_16.03.01 DNA binding_34 INTERACTION WITH THE ENVIRONMENT_34.01 homeostasis_34.01.01 homeostasis of cations_34.01.01.01 homeostasis of metal ions (Na, K, Ca etc.)"	";Copper-fist;zf-C4;zf-UBR;zf-LSD1;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04832"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";ApbA;ApbA_C;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU04834"	"related to phytochrome"	"30 CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM_30.05 transmembrane signal transduction_34 INTERACTION WITH THE ENVIRONMENT_34.11 cellular sensing and response to external stimulus"	";PAS_2;GAF;Phytochrome;Coprinus_mating;HisKA;HATPase_c;Response_reg;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU04838"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Ank;Ank;RCC1;BTB;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU04840"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";TP2;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04841"	"related to protein HSE1"	"14 PROTEIN FATE (folding, modification, destination)_14.04 protein targeting, sorting and translocation_14.10 assembly of protein complexes_20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.09 transport routes_20.09.07 vesicular transport (Golgi network, etc.)_42 BIOGENESIS OF CELLULAR COMPONENTS_42.01 cell wall_42.08 Golgi_70 SUBCELLULAR LOCALIZATION_70.08 Golgi"	";VHS;UIM;SH3_1;SH3_2;GAT;Extensin_2;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU04843"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"N_Evol"
"NCU04844"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";AT_hook;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU04845"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";PhyH;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU04847"	"related to cyclin pclA"	"10 CELL CYCLE AND DNA PROCESSING_10.03 cell cycle_10.03.01 mitotic cell cycle and cell cycle control"	";Cyclin;Cyclin_N;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"F_Evol"
"NCU04848"	"related to regulatory protein amdA"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control_16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.03 nucleic acid binding_16.03.01 DNA binding_70 SUBCELLULAR LOCALIZATION_70.10 nucleus"	";Albicidin_res;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04850"	"probable beta-1,3 exoglucanase precursor"	"01 METABOLISM_01.25 extracellular metabolism_01.25.01 extracellular polysaccharide degradation_32 CELL RESCUE, DEFENSE AND VIRULENCE_32.05 disease, virulence and defense_32.05.05 virulence, disease factors_42 BIOGENESIS OF CELLULAR COMPONENTS_42.27 extracellular / secretion proteins"	"NULL"	"Signal peptide"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU04852"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04853"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Signal peptide"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04854"	"probable cellulose 1,4-beta-cellobiosidase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_01.05.03 polysaccharide metabolism"	";Glyco_hydro_7;"	"Signal peptide"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU04855"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";zf-C2HC5;C1_4;"	"Non-secretory protein"	"A_Evol"	"F_Evol"	"F_Evol"
"NCU04856"	"probable glutamine synthetase"	"01 METABOLISM_01.01 amino acid metabolism_01.01.03 assimilation of ammonia, metabolism of the glutamate group_01.01.03.01 metabolism of glutamine_01.01.03.01.01 biosynthesis of glutamine_01.01.03.02 metabolism of glutamate_01.01.03.02.01 biosynthesis of glutamate_01.02 nitrogen, sulfur and selenium metabolism"	";Gln-synt_N;Gln-synt_C;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04857"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";2-Hacid_dh_C;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU04858"	"questionable protein"	"99 UNCLASSIFIED PROTEINS"	";CbiN;"	"Signal peptide"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04859"	"related to silencing protein (SIR2 gene family)"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control"	";SIR2;Extensin_2;Drf_FH1;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04861"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";F-box;Ank;Ank;Ank;Ank;Ank;Ank;Ank;Ank;Ank;"	"Non-secretory protein"	"F_Evol"	"N_Evol"	"N_Evol"
"NCU04862"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04865"	"probable type I polyketide synthase"	"01 METABOLISM_01.20 secondary metabolism_01.20.05 metabolism of acetic acid derivatives_01.20.05.11 metabolism of polyketides_32 CELL RESCUE, DEFENSE AND VIRULENCE_32.05 disease, virulence and defense_32.05.05 virulence, disease factors"	";ketoacyl-synt;ACP_syn_III;Ketoacyl-synt_C;TF_Otx;Acyl_transf_1;Ubie_methyltran;Methyltransf_11;Methyltransf_12;ADH_N;ADH_zinc_N;Shikimate_DH;adh_short;KR;Epimerase;PP-binding;"	"Non-secretory protein"	"O_Evol"	"O_Evol"	"F_Evol"
"NCU04867"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04869"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04870"	"probable acetylxylan esterase (subclass of the carboxylic acid esterases)"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_01.05.03 polysaccharide metabolism_01.25 extracellular metabolism_01.25.07 extracellular ester compound degradation"	";Abhydrolase_3;Peptidase_S9;"	"Signal peptide"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU04871"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";TolA;Pep_deformylase;Orthopox_B11R;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04872"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Signal peptide"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04873"	"questionable protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04874"	"probable alternative oxidase precursor"	"02 ENERGY_02.13 respiration_02.13.03 aerobic respiration_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";AOX;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04875"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04876"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04877"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";BTB;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04882"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Signal peptide"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04883"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Glyco_hydro_18;"	"Signal peptide"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU04884"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";AXE1;Abhydrolase_3;Peptidase_S9;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04886"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Sugar_tr;CitMHS;MFS_1;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"F_Evol"
"NCU04887"	"related to alpha-1,2-mannosyltransferase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_01.05.03 polysaccharide metabolism_40 CELL FATE_40.01 cell growth / morphogenesis_70 SUBCELLULAR LOCALIZATION_70.08 Golgi"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04889"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04890"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";AdoHcyase;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04891"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04892"	"questionable protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04894"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04896"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04897"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04898"	"probable calcium-transporting ATPase (P-type ATPase)"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.01 ion transport_20.01.01.01 cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)_20.03 transport facilities_20.03.22 transport ATPases_34 INTERACTION WITH THE ENVIRONMENT_34.01 homeostasis_34.01.01 homeostasis of cations_34.01.01.01 homeostasis of metal ions (Na, K, Ca etc.)"	";Cation_ATPase_N;E1-E2_ATPase;Hydrolase;DUF968;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04899"	"probable malate dehydrogenase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_02 ENERGY_02.10 tricarboxylic-acid pathway (citrate cycle, Krebs cycle, TCA cycle)_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";Ldh_1_N;Semialdhyde_dh;3Beta_HSD;Ldh_1_C;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04900"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Signal peptide"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04901"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04902"	"related to Na+/H+ antiporter"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.03 transport facilities_20.03.02 carrier (electrochemical potential-driven transport)_20.03.02.03 antiporter_34 INTERACTION WITH THE ENVIRONMENT_34.01 homeostasis_34.01.01 homeostasis of cations_34.01.01.01 homeostasis of metal ions (Na, K, Ca etc.)_34.01.01.03 homeostasis of protons"	";TatC;FA_desaturase;Na_H_Exchanger;ABC2_membrane;DctM;UAA;YibE_F;MFS_1;C4dic_mal_tran;SBF;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU04903"	"related to tripeptidyl-peptidase I (serine-carboxyl proteinase aorsin)"	"14 PROTEIN FATE (folding, modification, destination)_14.13 protein/peptide degradation"	";Pro-kuma_activ;Peptidase_S8;"	"Signal peptide"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU04904"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";DUF273;Ubie_methyltran;MTS;Methyltransf_11;Methyltransf_12;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04905"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Methyltransf_11;Methyltransf_12;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04906"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";MTS;Methyltransf_11;Methyltransf_12;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04907"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Ubie_methyltran;Methyltransf_11;Methyltransf_12;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04908"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	";His_leader;Lactamase_B;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04910"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Ubie_methyltran;MTS;Methyltransf_11;Methyltransf_12;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04911"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";TP2;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04912"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";HET;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04913"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"O_Evol"
"NCU04914"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"N_Evol"	"N_Evol"
"NCU04915"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04916"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04917"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Methyltransf_8;Ubie_methyltran;Methyltransf_11;Methyltransf_12;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04918"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04920"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";TFIIF_alpha;SSDP;CBM_19;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04921"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";DUF1295;ICMT;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04923"	"probable reductase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism"	";Aldo_ket_red;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU04924"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Acid_phosphat_B;Hydrolase;DUF218;"	"Non-secretory protein"	"B_Evol"	"A_Evol"	"A_Evol"
"NCU04925"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04926"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU04927"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Whi5;Extensin_2;SRP40_C;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04928"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Signal anchor"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU04930"	"related to triacylglycerol lipase"	"01 METABOLISM_01.06 lipid, fatty acid and isoprenoid metabolism"	";COesterase;Abhydrolase_3;"	"Signal peptide"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU04931"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04932"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Signal peptide"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU04933"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"F_Evol"
"NCU04934"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
